signal_1,signal_2,signal_3
0.49712698553930723-0.053510428678595845i,0.04058487084266701-0.005439862255540714i,0.0011060783548312405-0.0001627194850743708i
-0.2897247953235837+0.40750123686960543i,-0.02269996657934777+0.03395509716820301i,-0.0006236544906237448+0.0009158227376152056i
-0.11275422238436492-0.4871204008382408i,-0.010325327037407116-0.03931540461946231i,-0.0002867586767174256-0.001087798705506618i
0.4393131346710187+0.2387501493766579i,0.03619833108924677+0.018285522012115512i,0.0009861063945502547+0.0004861873510966982i
-0.4700776038157177+0.17036931689656037i,-0.037477362378786565+0.014995756484525474i,-0.0010276101065259478+0.00039758691125162387i
0.18433121765617907-0.4647813238629315i,0.0135642334181048-0.037789418796109406i,0.00036620385716471015-0.0010458150779475513i
0.22552677808583121+0.4462451233369839i,0.01927612021423342+0.03506233338423936i,0.0005236143320042864+0.0009448531962814241i
-0.4835356265115782-0.12725048667141697i,-0.038785750363689274-0.00867961991518552i,-0.0010633042099905399-0.0002491769717529653i
0.41597214775467706-0.2774282000075239i,0.03203903942793819-0.023132857131293254i,0.0008708896426124471-0.0006450511313168851i
-0.06833003354440789+0.49530611567233807i,-0.0038139593879517085+0.03912601960493016i,-0.00010708958630591161+0.0010560028607086267i
-0.3253207684152061-0.37969215392458366i,-0.02657577754169746-0.028521855138042614i,-0.0007297776618385396-0.0007908094244521331i
0.4999274843600181+0.008421693725155208i,0.038728312476340586-0.00098157409939603i,0.0010534886524543844-0.00003981637155859028i
-0.3379272813967328+0.36851466252127524i,-0.024670070249051615+0.02949419145185093i,-0.0006764356495656958+0.0007932011815315389i
-0.051605146251387624-0.49732957155247537i,-0.005691134324366141-0.03765714507397586i,-0.00015964744249075382-0.001039773705722227i
0.40638998291751377+0.2912810900220745i,0.03175491412945298+0.020522567398900685i,0.0008631174808047605+0.0005474290879971402i
-0.4875479875763276+0.11088641154040499i,-0.036025047206586835+0.010173586594038162i,-0.0009861871350226462+0.0002662155293979667i
0.2404320871330682-0.4383971125229499i,0.016091504127989282-0.03336673302223218i,0.0004346609391884216-0.0009222194459064592i
0.16856891032150836+0.47072445858433587i,0.014259992015045672+0.03383267878555435i,0.00038586681819679196+0.0009108264098544013i
-0.46407127662884173-0.18611109522131353i,-0.034385270117289785-0.011519866618027369i,-0.0009413461938561557-0.0003251080570505292i
0.44710693038057053-0.22381797587884827i,0.031060823040669868-0.01791406337676381i,0.0008428479634910524-0.000500288893537132i
-0.12910047108784853+0.4830427776067405i,-0.006985387519036247+0.034758937699735655i,-0.00019334767662912116+0.0009363927689097297i
-0.27583224782069804-0.4170327761987358i,-0.021140899717398413-0.027824728866942972i,-0.0005801928554401583-0.0007691112473366712i
0.49504218264754224+0.07022432151357935i,0.03441958155810538+0.0025456242374627003i,0.0009343721733869822+0.000057904719689249866i
-0.38093453943645755+0.32386258898108644i,-0.024280637800489363+0.02383876745108021i,-0.0006645805562299649+0.0006391559694462228i
0.010337292874920273-0.4998929078370838i,-0.0017747759474403442-0.03343297162430516i,-0.00005244474908936706-0.000921332280551573i
0.3672190593648861+0.3393339065367089i,0.025888415198314713+0.020477716167673545i,0.000701962675437538+0.0005469501730615485i
-0.4975229014606267+0.049698737414987995i,-0.031909238009453736+0.0058414730453428135i,-0.0008722556144054735+0.00014937986168639451i
0.2928365916701403-0.40527308378551197i,0.01644160950952187-0.027298592620987168i,0.0004437144781237097-0.0007536080640342449i
0.10901948918045767+0.48796693960709087i,0.009497951905461684+0.029862562728021635i,0.00025569771324746563+0.000803018115173049i
-0.43747238360402585-0.24211048625601791i,-0.028121503503199727-0.012311555199045235i,-0.0007690170020658181-0.0003442977751339944i
0.4713679661758058-0.16676683542946186i,0.027291535294574783-0.012704634661410561i,0.0007391144778543472-0.00035564703397547326i
-0.18788614644349827+0.4633532056940804i,-0.008255650618641275+0.028320680772439145i,-0.00022742522271858087+0.0007615992426748653i
-0.22210313707754947-0.447962032541898i,-0.0154600216393539-0.024310574353174533i,-0.00042435690945177244-0.0006701788642377327i
0.4825461861522877+0.13094731219591305i,0.027848585998504125+0.004339636600682499i,0.0007543417919084242+0.00010881865527896877i
