signal_1,signal_2
0.7683855641208642-0.00013689921418515584i,0.022594716352054293-0.0000040330160229090324i
0.7767085576163363-0.00029947756678017057i,0.022117049741230122-0.000008410377998699518i
0.7598463299186083+0.00027379157466896005i,0.02094996820034599+0.000007549381275841648i
0.7770117091998587+0.0003878695924700566i,0.020739786608048105+0.000010403301094204301i
0.7779467722506741-0.00012515238312770823i,0.020100794553050416-0.0000031797900512073084i
0.7497479998173195+0.00038600656693387896i,0.018750594987264054+0.00000966468225729681i
0.8002408091694896-0.00004425732008707026i,0.01936942626816932-0.0000009621264081887473i
0.7093324187446746-0.00001311870253064432i,0.01661407871150238-0.00000031541540499640965i
0.793999613377911+0.00004281772744501891i,0.01799314243907408+0.000001079224451972732i
0.7738209421315072-0.0000857134086779377i,0.016963053161409447-0.0000018966095862708833i
0.8262224391274033-0.00006416218306373278i,0.01751687098193844-0.000001291252619379607i
0.8024427044023159+0.0005393648082770681i,0.016451450191593737+0.000011049585193464487i
0.8096213458357775+0.0001378361882628009i,0.016048763280312326+0.00000275699950301359i
0.8286956271064426+0.0001577144722968767i,0.015881558574156768+0.000003036532322734196i
0.8006617807940926+0.0006030168856777779i,0.01483326704070828+0.000011172476096476171i
0.8456693572456885+0.00015501715334242176i,0.015144351126984588+0.0000028043660321046185i
0.8390140756885299-0.0003562855003552171i,0.01452158481092146-0.000006177405628848826i
0.8222508132207945-0.00005539415972664961i,0.013752704538692878-0.0000008991952428065637i
0.8517075584372047+0.00015893604942025647i,0.013763459611394031+0.000002555673542675187i
0.8695293546854829-0.00013832131711172678i,0.013573868287422389-0.0000021373065333962333i
0.85349810559766+0.000041583556114909065i,0.012868836782440597+0.000000621661389323966i
0.859778178089248-0.00014605911665945207i,0.012519488468690674-0.000002117372658339306i
0.8074724299509348-0.00005015674190146624i,0.011354458588933827-0.0000007001180829984892i
0.8600106420617121-0.000180967874460423i,0.011677280335847725-0.000002461712770768008i
0.798552379198478-0.0006317656972379201i,0.010469459496411341-0.000008267136360440477i
0.8773784116186522-0.00018848231469161336i,0.01110540092037567-0.000002394841871301225i
