bath,methyl_5_6_7,methyl_8_9_10,methyl_17_18_19,methyl_20_21_22,methyl_106_107_108,methyl_113_114_115,methyl_119_120_121,methyl_126_127_168,methyl_128_129_169,methyl_130_131_132,methyl_140_141_142,methyl_152_153_154,methyl_147_148_149
0.843471302759191+1.0557712573564e-06i,0.985423806275791-0.000298380463112353i,0.993955237350563+8.98643903031358e-06i,0.994850656548651+1.24797613014112e-05i,0.992216803452854+1.10254731418239e-07i,0.992350904259963+3.08970743041351e-06i,0.984002263163779-1.75751481712555e-08i,0.99379279867726+3.01514639540664e-06i,0.997055601164731+1.89954129164163e-07i,0.996840482218729-3.32681170918335e-07i,0.992772602013781-2.81693466335052e-07i,0.992153309452653-1.19912393354668e-07i,0.990175272779085-1.27762026855164e-07i,0.999372722681636+4.36109132658001e-08i
0.846170756141134+3.19715138733439e-06i,0.98199619392402+0.000348522053484203i,0.996316597247391-3.9035237235114e-07i,0.973687974953768+0.000225972185795271i,0.998430657405275+1.29509667376965e-06i,0.99177044796558+7.85755252523495e-06i,0.982511788548911-3.29149662042065e-08i,0.994563258840589+2.28087859990078e-06i,0.996670711297474-4.83710245603637e-08i,0.996502480177433-1.34124865285617e-07i,0.992008253592411+4.24462956386676e-07i,0.991276513501109-2.48592458047409e-07i,0.989885456614804-5.08891506803169e-08i,0.999233641537427+8.36251426704069e-08i
0.815483697072443+3.29467054903853e-05i,0.994318246345367-3.33306468735294e-05i,0.991706396593292+6.22102340191056e-05i,0.989993742859767-8.15642936305764e-05i,0.986557549884917-1.09151561767579e-07i,0.991956552304325-6.4236808779198e-06i,0.980959752440147-2.83841546176447e-07i,0.992858440988921-5.41174088209617e-06i,0.996330394910725+1.54182203669648e-07i,0.996234904609742-2.31259003579332e-07i,0.991389151790931-9.97875952220301e-07i,0.990302588095415+6.29127597110435e-07i,0.989627956560233-4.27051380801807e-07i,0.999323459725309+5.13156298804965e-09i
0.826589438871944+8.06903959276944e-06i,0.96808120626688+0.000245966737886447i,0.996478763883077+6.8961113201981e-06i,0.972826966094398-5.0380006850102e-05i,0.99817631592597-3.79617425379955e-07i,0.9901938673785+1.36004077937516e-05i,0.979384148280191-1.96564537416334e-07i,0.994748749978704-2.40985718529461e-06i,0.99580144486241-6.92543053726455e-07i,0.995774087089228+6.37491044569947e-07i,0.990343267771449+2.09390904776466e-06i,0.989328808114729-4.60524170045499e-08i,0.98946645053229-3.05664462448555e-07i,0.99893146062374+1.78341986182032e-07i
0.801381791376091+6.09822981813069e-05i,0.989051149813086+5.13796747370463e-05i,0.989574711899007+8.34836540100901e-05i,0.986068821557353-4.13032626596996e-05i,0.986263557166935-6.58461205963333e-06i,0.991291941952685-1.18238551300266e-05i,0.977740853403194-7.2624025333099e-07i,0.991927401968643+9.71040633373567e-08i,0.995449647235834+6.95156716926104e-09i,0.995539292215242+3.43670075393117e-07i,0.989771498985651-1.06637628087565e-06i,0.988200480876683+1.52479519106802e-06i,0.989304127034227+1.01502773948721e-06i,0.999181830679554+1.24686500786035e-09i
0.808491434855123+2.35264820246882e-05i,0.985240965964049-6.32733752467215e-05i,0.996265869950663+4.10541153971571e-06i,0.987195663816597-0.000145636327262117i,0.999117427361012+2.78785057854485e-07i,0.98896156136314+1.44319527438739e-05i,0.976119552004941-2.4632549639707e-07i,0.994986577677792+8.14791000746907e-07i,0.994829834397977-9.71219483187114e-07i,0.995029162778442+9.04612128699047e-07i,0.988608085066536+2.58793857964891e-06i,0.98712299735717-2.8709524646158e-08i,0.989310777572101-5.84247470428709e-07i,0.998720413421153+2.20728046808014e-07i
0.798645732647168+6.50679225669305e-05i,0.988220203834793-3.15443963198536e-05i,0.994507351977714+3.75655755682045e-05i,0.990345031782773+7.06986282917397e-05i,0.990818230638953-1.08752512803388e-06i,0.990585226014927-5.44003316524193e-06i,0.974427352043197-7.76972800707203e-07i,0.99256223718903+3.82857249326579e-06i,0.994418373182055+3.76914949188202e-08i,0.994783166414761+2.22708379034429e-07i,0.9879888083108-1.30755730387307e-06i,0.985864699043588+1.29529154332384e-06i,0.989282655211396+1.56962509064345e-06i,0.999004992205542+9.3387905819278e-10i
0.793020214603006+2.46476239024569e-05i,0.990698752047066+0.0001497802815292i,0.996367615343205-6.55660201505223e-06i,0.989481770613313+6.99959722809193e-05i,0.997624233904112+2.61380964987026e-06i,0.988580981876317+1.64827661609187e-05i,0.972780043068129-5.32184438625809e-08i,0.995126471070782+7.64244929111146e-06i,0.993757994611576-6.37769803301254e-07i,0.994290535468591+1.05540047469972e-07i,0.986847130218782+7.44935572329428e-07i,0.984652933698361-4.76453408825783e-07i,0.989436476387093-8.8823443746951e-07i,0.998646301859558+1.61483537412035e-07i
0.790325530796887+3.78530328801517e-05i,0.99405858422231-1.28486401917218e-05i,0.996919822372789-3.36562903273144e-08i,0.992564054378121+1.59662041119725e-05i,0.997454538232124+1.23189438913618e-06i,0.989394177794065+5.09494701240512e-06i,0.971080981401888-3.59122057792075e-07i,0.994093469250141+2.93066490535116e-06i,0.993218606809864+2.96860802144365e-08i,0.993965602344719-5.03180716864085e-07i,0.986037746970772-1.34834761360124e-06i,0.983285948258872+1.38036661455381e-07i,0.989547365431621+2.59413728494901e-07i,0.998772836652804+1.66069213913822e-08i
0.778209993040069+2.78762086491441e-05i,0.968330890677439+0.000298569718688599i,0.996331878143987+4.78119927486812e-06i,0.975607588785357+1.03553927442355e-05i,0.993778675307654+4.10064270049957e-06i,0.988416369141669+1.22391801620266e-05i,0.969412097695623-8.56614090542858e-08i,0.993933649013416+7.74637455018302e-06i,0.992539246656881-1.550470713922e-07i,0.993520237072386-6.59832038365314e-07i,0.984971271429563-1.05221936947149e-06i,0.981900507522199-4.17179165587636e-07i,0.989764956238995-1.29945093817194e-07i,0.998597116211066+5.86263515064058e-08i
0.774002878422609+8.0542512345817e-06i,0.994122358202633+3.48629759561314e-05i,0.993214756051958+1.86360638207713e-05i,0.986589236600152-0.000108893237172586i,0.998283808248762-7.52871087465879e-07i,0.987245329654755+1.79000759647294e-05i,0.967748102245148-1.22242274751322e-08i,0.994892311821206+3.03733429824869e-06i,0.991823393477355-3.2227404562099e-07i,0.993071266147452-5.21830161653836e-07i,0.983880090157308-9.32200897763704e-07i,0.980436479145304-5.92722271985251e-07i,0.989996733469636-9.89167119549107e-07i,0.998431142463434+9.81487713279639e-08i
0.762252629649381+5.49663176178193e-05i,0.97489306127424-6.04177657376051e-05i,0.996642758858283+2.18009222688278e-05i,0.971880084297822-0.000185133371929381i,0.9908028224899+2.47290092311509e-06i,0.987675603148995+5.19602570776089e-06i,0.966074671757174-7.65335220133068e-07i,0.991462316527578-8.39515701321049e-06i,0.991123849649976+3.55861917697934e-08i,0.992678115071359-2.15155630912952e-07i,0.982892257626455-1.94743070118445e-06i,0.978861822817065+8.30805741053164e-07i,0.990203959937289+1.6723901151112e-06i,0.998449715016176+4.38458010938749e-09i
0.758372436473677-3.37848578027727e-06i,0.985639061101509+1.19657351112868e-05i,0.990950387391239+4.46097690060309e-05i,0.982780716495058-3.61495452543515e-05i,0.997282590903392-4.76790243846907e-06i,0.984657532212458+2.46873928917433e-05i,0.96448966280303-4.3547002813011e-08i,0.994707038270526+3.54932963011492e-06i,0.990237768328475-8.17085267378605e-07i,0.992124843044952+4.66641116761981e-07i,0.98156396870198-6.06373329339529e-07i,0.977303833994665-4.14480977462551e-07i,0.990548737816388-1.08052771573604e-06i,0.99802803832867+2.25571760796665e-07i
0.74715391062853+8.31635607470966e-05i,0.994711773394793-4.60005677654403e-05i,0.994386538400141+1.07260873575752e-05i,0.985282663849183-8.4512613869992e-05i,0.99187463114041-6.8981691320099e-06i,0.986332018692065+1.20350627409823e-06i,0.962857394542265-1.6119896828905e-06i,0.989734622542787-2.46750414153892e-05i,0.989499718636029+8.27642485532803e-09i,0.991774976193989+7.31625937031684e-07i,0.980635511376509-2.00532300903798e-06i,0.975562314215954+2.24897360746824e-06i,0.990737298822511+2.62774519855577e-06i,0.998204233157062+4.65094137210683e-09i
0.746430444108857-8.23179382168296e-06i,0.980430918676143-7.61878865918688e-06i,0.99106838739033+2.97230102464703e-05i,0.986720723199356+8.4281562565832e-05i,0.998139378162535-5.47504535066472e-06i,0.982799538858782+2.9403784116604e-05i,0.961384421368719-1.01533999151715e-07i,0.994364665845988+5.20719554230554e-06i,0.988493234323434-9.58867159434287e-07i,0.991186701703691+1.04460626326943e-06i,0.979214710787823-2.50968009714612e-06i,0.97389922323641-1.77491018839878e-07i,0.991179545413352-7.81369774179382e-07i,0.997700612195976+2.84195975797243e-07i
0.737287605022469+8.02175535661214e-05i,0.983413240704955+0.0003147536792876i,0.994129185860523-4.18802709957373e-06i,0.990426499593398-9.9992194183975e-05i,0.995580442781778-1.36927023101288e-06i,0.984728877761858+2.55694644959684e-06i,0.959854416021852-1.67895948395174e-06i,0.990249342764471-1.2621476631915e-05i,0.987672993254766+1.98771544634254e-08i,0.990845441845476+6.35601526276664e-07i,0.978276681237255-2.49574556380189e-06i,0.972032164786325+2.31185583701253e-06i,0.991385764792707+2.05720034284894e-06i,0.997919510713144+3.41945769039288e-09i
