signal_1,signal_2
-0.47637300260648385-0.15188393276937406i,-0.45587368066007167-0.1454628551535592i
0.37643490052724715-0.3290847105062674i,0.3601920733635584-0.31473942627349405i
0.0868658582794937+0.49239586059509055i,0.08295919882493462+0.4708871900494975i
-0.46631741482035916-0.18041070459962227i,-0.44571235078691374-0.172557654141546i
0.39564476813357696-0.3057207989952858i,0.3781126768409261-0.2920332789110763i
0.05693332014720018+0.4967473846561638i,0.0542676627563725+0.4744717327366699i
-0.4545553056081519-0.20827725139496228i,-0.43393827976197585-0.19895378896274335i
0.413406745511968-0.2812380812842993i,0.3946014016493103-0.2683091223642287i
0.026792430318945126+0.499281025767125i,0.02544611093906462+0.4763049183861309i
-0.44112971924153466-0.23538159355384422i,-0.42059895684258974-0.22455514246938638i
0.42965583144827285-0.25572615361267564i,0.40960060975719675-0.24365730297454774i
-0.0034465084843199323+0.49998751188889257i,-0.0033983634337366665+0.476384193317528i
-0.4260897876046371-0.2616245408165662i,-0.40574760590072695-0.24926879802233073i
0.4443325612617225-0.2292783786865232i,0.423058367769442-0.21817141547132496i
-0.03367283472447605+0.49886425758546926i,-0.03215884089165938+0.47471356359918737i
-0.4094905503924359-0.2869100552590539i,-0.38944297110230197-0.2730053819184191i
0.45738322442013574-0.20199154401125713i,0.4349286288556007-0.19194794246862976i
-0.06377593301997195+0.4959153734855293i,-0.060728978142950474+0.4713035640638109i
-0.39139275368909276-0.31114560275044567i,-0.371749082128087-0.2956793915352482i
0.46876006109741614-0.17396550769086738i,0.4451713918750328-0.16508588385995096i
-0.09364563895064679+0.49115165123928045i,-0.08900340736664929+0.4661712025949796i
-0.37186262766335765-0.33424249158829744i,-0.3527349998845748-0.31720950797095376i
0.4784214369540178-0.14530283299011587i,0.4537528371445056-0.13768637755397103i
-0.12317264221222862+0.4845905240256575i,-0.11687813081953621+0.4593398799574621i
-0.3509716441945756-0.3561161970721497i,-0.33247454372616314-0.33751889201904367i
0.48633199550075973-0.11610841299700539i,0.46064543838519284-0.10985231302536254i
-0.15224888664513309+0.47625600275436786i,-0.14425090925812203+0.4508392855386136i
-0.32879625531628276-0.37668667082765445i,-0.31104600127894827-0.3565354623859249i
0.4924627874884025-0.08648908675909465i,0.4658280504791045-0.08168793917846913i
