index,particle,x,y,z,active,cell_id,group
402,1H,33.44,4.029999999999999,54.849999999999994,false,0,none
403,12C,35.74,4.280000000000002,54.39,false,0,none
404,1H,36.18,4.290000000000001,55.41,false,0,none
405,1H,36.61,4.14,53.71,false,0,none
406,16O,35.05,5.499999999999999,54.11,false,0,none
407,1H,34.73,5.860000000000002,54.94,false,0,none
408,12C,13.55,34.03,12.15,false,0,none
409,1H,13.84,33.92,13.22,false,0,none
410,1H,14.41,34.4,11.55,false,0,none
411,16O,12.44,34.92,12.06,false,0,none
412,1H,11.81,34.53,12.659999999999998,false,0,none
413,12C,13.239999999999998,32.67,11.43,false,0,none
414,1H,12.64,32.94,10.53,false,0,none
415,16O,12.37,31.97,12.32,false,0,none
416,1H,12.93,31.83,13.090000000000002,false,0,none
417,12C,14.41,31.73,11.100000000000001,false,0,none
418,1H,14.01,30.74,10.78,false,0,none
419,1H,15.12,32.24,10.420000000000002,false,0,none
420,16O,15.22,31.57,12.23,false,0,none
421,1H,16.05,31.45,11.76,false,0,none
422,12C,12.64,20.82,1.540000000000001,false,0,none
423,1H,11.97,19.94,1.540000000000001,false,0,none
424,1H,13.66,20.49,1.8400000000000019,false,0,none
425,16O,12.16,21.86,2.3699999999999988,false,0,none
426,1H,11.22,22.000000000000004,2.2300000000000013,false,0,none
427,12C,12.87,21.33,0.07999999999999972,false,0,none
428,1H,13.62,22.15,0.06000000000000186,false,0,none
429,16O,11.65,21.83,-0.4900000000000014,false,0,none
430,1H,11.74,22.78,-0.4500000000000015,false,0,none
431,12C,13.470000000000002,20.15,-0.5800000000000001,false,0,none
432,1H,13.85,20.53,-1.5599999999999987,false,0,none
433,1H,14.37,19.74,-0.07999999999999972,false,0,none
434,16O,12.510000000000002,19.14,-0.7099999999999985,false,0,none
435,1H,11.89,19.62,-1.2700000000000007,false,0,none
436,12C,16.3,2.8600000000000003,15.96,false,0,none
437,1H,17.09,2.5800000000000014,16.69,false,0,none
438,1H,16.91,3.21,15.1,false,0,none
439,16O,15.47,3.900000000000001,16.5,false,0,none
440,1H,15.81,4.189999999999999,17.35,false,0,none
441,12C,15.58,1.6200000000000006,15.45,false,0,none
442,1H,16.34,1.0999999999999983,14.830000000000002,false,0,none
443,16O,14.51,2.0000000000000013,14.54,false,0,none
444,1H,14.47,2.920000000000002,14.8,false,0,none
445,12C,15.12,0.6800000000000017,16.59,false,0,none
446,1H,15.97,0.6699999999999987,17.31,false,0,none
447,1H,14.16,1.0199999999999985,17.05,false,0,none
448,16O,15,-0.7499999999999984,16.25,false,0,none
449,1H,15.44,-1.2799999999999996,16.92,false,0,none
450,12C,13.15,37.05,53.08,false,0,none
451,1H,13.93,37.71,52.65,false,0,none
452,1H,13.7,36.17,53.5,false,0,none
453,16O,12.25,36.64,52.09,false,0,none
454,1H,11.55,36.15,52.54,false,0,none
455,12C,12.42,37.77,54.2,false,0,none
456,1H,13.28,38.09,54.83,false,0,none
457,16O,11.65,36.84,55.02,false,0,none
458,1H,11.79,36.98,55.96,false,0,none
459,12C,11.57,38.86999999999999,53.67,false,0,none
460,1H,12.05,39.24,52.74,false,0,none
461,1H,10.520000000000001,38.6,53.44,false,0,none
462,16O,11.55,40.03,54.53,false,0,none
463,1H,11.33,40.78999999999999,53.98,false,0,none
464,12C,23.05,4.790000000000001,33.67,false,0,none
465,1H,22.56,4.539999999999998,34.64,false,0,none
466,1H,22.26,5.359999999999998,33.15,false,0,none
467,16O,23.41,3.510000000000001,33.02,false,0,none
468,1H,22.730000000000004,2.869999999999999,33.26,false,0,none
469,12C,24.28,5.57,33.82,false,0,none
470,1H,23.9,6.490000000000001,34.32,false,0,none
471,16O,24.75,5.990000000000001,32.55,false,0,none
472,1H,24.52,5.2299999999999995,32,false,0,none
473,12C,25.37,4.940000000000001,34.6,false,0,none
474,1H,24.91,4.26,35.34,false,0,none
475,1H,25.97,4.240000000000002,33.99,false,0,none
476,16O,26.08,5.980000000000002,35.36,false,0,none
477,1H,27.01,5.780000000000003,35.27,false,0,none
478,12C,5.760000000000001,6.079999999999999,3.4000000000000004,false,0,none
479,1H,6.85,6.210000000000002,3.5900000000000007,false,0,none
480,1H,5.549999999999998,5.009999999999998,3.5999999999999996,false,0,none
481,16O,5.370000000000001,6.450000000000001,2.059999999999999,false,0,none
482,1H,6.059999999999998,7.08,1.8500000000000008,false,0,none
483,12C,4.929999999999998,7,4.349999999999998,false,0,none
484,1H,4.99,6.480000000000002,5.330000000000001,false,0,none
485,16O,3.56,6.920000000000001,4.0200000000000005,false,0,none
486,1H,3.7699999999999982,6.709999999999998,3.1099999999999985,false,0,none
487,12C,5.42,8.409999999999998,4.309999999999999,false,0,none
488,1H,6.530000000000001,8.409999999999998,4.290000000000001,false,0,none
489,1H,5.03,8.759999999999998,3.3399999999999985,false,0,none
490,16O,4.95,9.1,5.509999999999998,false,0,none
491,1H,4.029999999999999,9.310000000000002,5.349999999999999,false,0,none
492,12C,29.32,5.38,2.5400000000000014,false,0,none
493,1H,28.799999999999997,4.440000000000001,2.2300000000000013,false,0,none
494,1H,29.48,5.240000000000002,3.630000000000001,false,0,none
495,16O,28.469999999999995,6.589999999999999,2.449999999999999,false,0,none
496,1H,27.6,6.249999999999998,2.2499999999999996,false,0,none
497,12C,30.58,5.440000000000001,1.7400000000000002,false,0,none
498,1H,31.14,4.480000000000001,1.8199999999999998,false,0,none
499,16O,31.4,6.58,2.09,false,0,none
500,1H,31.06,6.979999999999999,2.8900000000000015,false,0,none
501,12C,30.3,5.450000000000001,0.2600000000000012,false,0,none
502,1H,29.33,4.919999999999999,0.11999999999999958,false,0,none
503,1H,30.27,6.54,0.020000000000002,false,0,none
504,16O,31.25,4.830000000000001,-0.5300000000000012,false,0,none
505,1H,31.24,5.210000000000002,-1.4099999999999981,false,0,none
506,12C,23.16,40.45000000000001,36.36,false,0,none
507,1H,22.38,40.49,37.15,false,0,none
508,1H,22.87,40.92,35.4,false,0,none
509,16O,23.52,39.1,35.96,false,0,none
510,1H,23.7,38.54,36.72,false,0,none
511,12C,24.46,41.1,37.05,false,0,none
512,1H,25.23,40.82000000000001,36.3,false,0,none
513,16O,24.76,40.53,38.34,false,0,none
514,1H,24.41,41.15,38.99000000000001,false,0,none
515,12C,24.56,42.6,37.11,false,0,none
516,1H,24.01,42.95,36.21,false,0,none
517,1H,24.14,43.04,38.03999999999999,false,0,none
518,16O,25.87,43.15,36.9,false,0,none
519,1H,26.27,43.19,37.77,false,0,none
520,12C,8.67,30.61,27.76,false,0,none
521,1H,8.4,31.48,27.12,false,0,none
522,1H,9.75,30.65,28.01,false,0,none
523,16O,8.47,29.44,27.06,false,0,none
524,1H,8.44,29.75,26.149999999999995,false,0,none
525,12C,7.8500000000000005,30.6,29.02,false,0,none
526,1H,7.74,29.56,29.399999999999995,false,0,none
527,16O,6.450000000000001,30.96,28.83,false,0,none
528,1H,5.929999999999999,30.29,29.27,false,0,none
529,12C,8.559999999999999,31.2,30.23,false,0,none
530,1H,8.210000000000003,30.66,31.13,false,0,none
531,1H,9.67,31.18,30.29,false,0,none
