radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
5.41443902911465e-10,1,12,143,1731
9.63864876422002e-10,1,6,42,390
9.52018119575463e-10,1,9,81,805
1.13436039246793e-09,1,4,29,258
1.19848341665623e-09,1,2,10,90
1.1047164794643e-09,1,6,57,511
1.17321374864089e-09,1,3,35,343
1.16990918450964e-09,1,5,49,511
1.09902615983424e-09,1,4,29,291
9.78093809406849e-10,1,10,103,1093
1.09069175297148e-09,1,1,8,84
1.16919994013e-09,1,2,16,146
1.0373492661587e-09,1,6,55,562
1.05160757890004e-09,1,7,43,356
1.07031934486862e-09,1,7,69,744
1.17549244999702e-09,1,4,37,383
9.54242893607283e-10,1,7,70,791
8.56118858570468e-10,1,12,152,1834
8.84699666553571e-10,1,10,113,1320
1.17780707248683e-09,1,3,16,133
1.11026280672641e-09,1,2,12,105
1.11885231375727e-09,1,5,32,281
1.03952849888784e-09,1,2,17,189
1.18540984473725e-09,1,3,31,363
1.05778045926364e-09,1,4,27,257
1.18044631389996e-09,1,1,2,15
1.15938971014927e-09,1,2,12,99
1.09366882555918e-09,1,3,31,325
1.03107637932405e-09,1,7,68,743
1.09267035285122e-09,1,2,16,163
1.08932295486692e-09,1,6,61,648
1.0593000047201e-09,1,6,52,552
6.91021345545852e-10,1,14,178,2219
7.65399568852766e-10,1,12,154,1957
6.85815937405949e-10,1,18,250,3200
4.77670911821099e-10,1,14,206,2861
3.92411136437283e-10,1,14,195,2673
1.1512173991041e-09,1,3,35,411
1.16873756677879e-09,1,3,33,357
9.90180539093756e-10,1,12,120,1290
1.09304780316325e-09,1,7,68,717
1.14051633043986e-09,1,2,13,136
1.01294792561118e-09,1,6,55,592
1.09111892110805e-09,1,3,21,218
1.09321841367588e-09,1,7,69,793
1.1363126770392e-09,1,4,39,450
1.03417914308886e-09,1,3,20,166
8.2076275500293e-10,1,9,107,1289
1.09945509230709e-09,1,6,57,589
1.17734892873778e-09,1,4,38,404
8.63945310769148e-10,1,12,136,1544
1.08271118032465e-09,1,5,45,473
1.06625161195658e-09,1,5,37,364
5.92885739413591e-10,1,16,230,3113
6.92196865060801e-10,1,11,143,1796
6.60737088409604e-10,1,10,132,1793
1.10624974576268e-09,1,4,28,266
1.07774556366519e-09,1,6,56,551
9.59490229236338e-10,1,10,108,1189
1.09394446842607e-09,1,2,21,221
1.00491168766215e-09,1,8,82,868
8.38528771122375e-10,1,13,137,1415
1.11608265822922e-09,1,3,23,208
1.17788985053782e-09,1,4,35,379
1.05654413064481e-09,1,6,50,527
6.25787104373365e-10,1,14,184,2302
7.88895747231534e-10,1,11,125,1409
8.07495201224132e-10,1,11,121,1333
1.15833868104281e-09,1,1,11,110
1.09611883479849e-09,1,6,49,447
7.83400599948711e-10,1,12,151,1793
1.06241117275752e-09,1,3,17,129
1.02032274305731e-09,1,9,82,824
9.49198872734265e-10,1,8,77,745
8.09770646541353e-10,1,10,111,1224
1.01281365512122e-09,1,7,57,510
7.91992108546544e-10,1,9,95,1016
8.10800530340231e-10,1,13,163,1932
1.06804424065673e-09,1,5,36,347
6.77839582792271e-10,1,15,191,2316
7.9177301040134e-10,1,14,175,2117
9.14049506317902e-10,1,13,149,1698
1.07238169510674e-09,1,6,54,560
1.1800510582174e-09,1,4,26,248
9.4914250774054e-10,1,9,103,1209
7.36490665249737e-10,1,12,160,2088
1.19914698848807e-09,1,4,21,174
9.96903957259675e-10,1,6,67,806
1.06323398177447e-09,1,6,62,664
8.70121543234047e-10,1,10,105,1158
9.23283542580501e-10,1,14,162,1799
8.87703497796421e-10,1,8,71,716
1.040761019639e-09,1,5,39,429
1.14338860410623e-09,1,4,30,307
8.2036424836776e-10,1,13,155,1768
6.41709825388392e-10,1,13,167,2077
1.18412393777003e-09,1,5,54,618
8.12791793757787e-10,1,14,197,2537
7.73580958917682e-10,1,13,164,2021
1.13023647968025e-09,1,4,28,273
1.03318802741805e-09,1,4,33,340
1.19400481573568e-09,1,2,6,56
1.01944273993197e-09,1,7,60,596
7.7339543572483e-10,1,12,149,1777
1.10931893520304e-09,1,6,53,516
1.03534945791264e-09,1,9,101,1167
1.10461554397899e-09,1,4,32,345
1.08469511845495e-09,1,2,18,177
6.71098725971075e-10,1,13,168,1991
7.35264238216438e-10,1,12,144,1703
8.21947382744176e-10,1,9,79,752
1.11939604251578e-09,1,3,26,253
1.13872889662114e-09,1,5,51,496
9.27859094906118e-10,1,9,82,765
8.69118231312634e-10,1,10,97,1012
