signal_0,signal_1
1+0i,-0.43293322560903874-0.8191943975051268i
1+0i,-0.9111097868114127-0.16581834216090294i
1+0i,-0.6930697786330441+0.6134941266030978i
1+0i,0.05396492616701748+0.9235314933820895i
1+0i,0.7590080158049399+0.5280428198648782i
1+0i,0.8837374472399386-0.2702372279683533i
1+0i,0.3335233335968878-0.861323266120544i
1+0i,-0.4707811883812276-0.7940869674489568i
1+0i,-0.9147478218916556-0.12056879680954025i
1+0i,-0.659753211540967+0.6442945060589i
1+0i,0.0987444616234221+0.9163659059057716i
1+0i,0.7810271895867391+0.4884246557893094i
1+0i,0.8661970101337477-0.3120063744722482i
1+0i,0.2898649270313199-0.8733296302120459i
1+0i,-0.5071756666572824-0.7671885095860377i
1+0i,-0.9160806907750739-0.07535619305484909i
1+0i,-0.6250426731793826+0.6732600160306329i
1+0i,0.1429421454116988+0.9069718470677407i
1+0i,0.8009354091213445+0.44788821602561085i
1+0i,0.8466316160262497-0.352682992984712i
1+0i,0.24581531364891357-0.8830697807577159i
1+0i,-0.5420302095746485-0.7385835780988631i
1+0i,-0.9151215193114839-0.030300684669730515i
1+0i,-0.5890407331987331+0.7003268230716546i
1+0i,0.18644448836591546+0.8953905654538961i
1+0i,0.8186950652233996+0.40654818601289944i
1+0i,0.8251082235326685-0.39216673571795824i
1+0i,0.20149471337106162-0.8905344328801497i
1+0i,-0.5752633234146916-0.7083609631111187i
1+0i,-0.9118898229444893+0.014478859074615519i
1+0i,-0.5518528935995914+0.7254369108199898i
1+0i,0.22914076636741038+0.8816692047227479i
1+0i,0.8342748904107307+0.3645207141678195i
1+0i,0.8016988545630709-0.43036133907344765i
1+0i,0.15702325856431154-0.8957208032297812i
1+0i,-0.6067986810006493-0.6766133973685455i
1+0i,-0.9064114051955295+0.05886519903413667i
1+0i,-0.5135872542862016+0.7485382133647807i
1+0i,0.2709233315430767+0.865860622842996i
1+0i,0.8476500087086679+0.3219230556302997i
1+0i,0.7764803448626847-0.4671748825730352i
1+0i,0.1125206365163762-0.8986325735192855i
1+0i,-0.6365653135631535-0.6434372525643979i
1+0i,-0.8987182371900162+0.10274306441358982i
1+0i,-0.4743541727516424+0.7695847291350819i
1+0i,0.3116879117625177+0.8480231947028759i
1+0i,0.8588019651589607+0.2788732149577906i
1+0i,0.7495340812083797-0.5025200324751273i
1+0i,0.06810573572866335-0.8992798341171666i
1+0i,-0.6644977845674975-0.6089322263687837i
1+0i,-0.8888483187469101+0.14599948253333841i
1+0i,-0.43426591904286466+0.7885366150731057i
1+0i,0.3513338975390218+0.828220598847803i
1+0i,0.8677187350764298+0.23548958893852998i
1+0i,0.7209457262087304-0.5363142693881465i
1+0i,0.023896297150503426-0.8976790080217592i
1+0i,-0.6905363450615974-0.5732010212449741i
1+0i,-0.876845521611836+0.18852409912655804i
1+0i,-0.3934363271614594+0.8053602609224574i
1+0i,0.3897646154883345+0.8065215891510935i
1+0i,0.874394713164848+0.19189061068551905i
1+0i,0.6908049316901613-0.5684800992526439i
1+0i,-0.019991428544681944-0.8938527556009253i
1+0i,-0.7146270701693178-0.5363490161557759i
1+0i,-0.8627594154699472+0.23020948819148807i
1+0i,-0.35198044405969126+0.820028343530552i
1+0i,0.4268875875510047+0.7829997522676365i
1+0i,0.87883068267082+0.14819439615996857i
1+0i,0.6592050416830457-0.5989452471244684i
1+0i,-0.0634430165696438-0.8878298605448981i
1+0i,-0.7367219764203983-0.49848393227872734i
1+0i,-0.8466450774282163+0.2709514504660334i
1+0i,-0.310014177390652+0.832519861132536i
1+0i,0.4626147752381088+0.7577332517619858i
1+0i,0.8810337648205078+0.10451839425610604i
1+0i,0.6262427860490309-0.6276428332536446i
1+0i,-0.1063461954805006-0.8796450975398508i
1+0i,-0.7567791196753111-0.4597154938607635i
1+0i,-0.8285628857075201+0.3106492996375168i
1+0i,-0.2676539431668906+0.8428201476521162i
1+0i,0.4968628082164138+0.730804559840622i
1+0i,0.8810173488488721+0.06097904155855963i
1+0i,0.592017965814594-0.6545115310174145i
1+0i,-0.1485911654768956-0.8693390822275896i
1+0i,-0.7747626734707524-0.42015508535066914i
1+0i,-0.8085782983323628+0.3492061354486406i
1+0i,-0.22501631447317622+0.8509208671216906i
1+0i,0.5295531966071954+0.7023001776527515i
1+0i,0.8788010029940511+0.017691422859138828i
1+0i,0.5566331312954617-0.6794957063304525i
1+0i,-0.1900709065798447-0.8569581040720802i
1+0i,-0.7906429876788742-0.3799154059512496i
1+0i,-0.7867616176505895+0.38652910291148285i
1+0i,-0.1822176723665519+0.856819988390562i
1+0i,0.5606125264327724+0.6723103451549188i
1+0i,0.8744103668908896-0.025231061508161345i
1+0i,0.5201932541122708-0.7025455382207724i
1+0i,-0.2306814757638332-0.8425539428063162i
1+0i,-0.8043966274406009-0.33911012273284613i
1+0i,-0.7631877415565832+0.42252963689446554i
1+0i,-0.1393738600803755+0.8605217403550327i
1+0i,0.5899726377061358+0.640928741561992i
1+0i,0.8678770258566998-0.06767702048659793i
1+0i,0.48280539420959623-0.723617120325765i
1+0i,-0.2703222921642791-0.8261836691828001i
1+0i,-0.8160063924000939-0.2978535234454065i
1+0i,-0.7379359023290886+0.4571236914024215i
1+0i,-0.09659984162892268+0.8620365480078728i
1+0i,0.6175707847215871+0.6082521774304244i
1+0i,0.8592383676193731-0.10953738827790926i
1+0i,0.4445783629982285-0.7426725431290144i
1+0i,-0.30889640952887865-0.8079094307979569i
1+0i,-0.8254613163335354-0.2562601701580789i
1+0i,-0.7110893940290862+0.49023195292694816i
1+0i,-0.0540093658852947+0.8613809496667756i
1+0i,0.6433497781677779+0.5743802794392514i
1+0i,0.8485374220924325-0.1507057305307003i
1+0i,0.4056223837443819-0.7596799568248486i
1+0i,-0.34631077513105973-0.787798223804545i
1+0i,-0.8327566473305303-0.2144445548430931i
1+0i,-0.6827352894337113+0.5217800373030268i
1+0i,-0.011714637178022902+0.8585774958016847i
1+0i,0.6672581087489157+0.5394151689499652i
1+0i,0.8358226848535892-0.1910785398221841i
1+0i,0.3660487503293265-0.7746136147635896i
1+0i,-0.3824764744158642-0.7659216513667251i
1+0i,-0.8378938087504718-0.17252075800484706i
1+0i,-0.6529641475091552+0.5516986695679962i
1+0i,0.030174006578933515+0.8536546299391257i
1+0i,0.6892500520645038+0.5034611354381286i
1+0i,0.8211479250324903-0.23055551956317138i
1+0i,0.3259694854988928-0.787453897496094i
1+0i,-0.4173089607026723-0.7423556697497377i
1+0i,-0.8408803412388025-0.13060211143542488i
1+0i,-0.6218697124486744+0.5799238463803293i
1+0i,0.07154840724206035+0.8466465521777627i
1+0i,0.709285754563182+0.46662430589743564i
1+0i,0.804571978359614-0.2690398555025586i
1+0i,0.28549699971438175-0.7981873175010951i
1+0i,-0.4507282693251518-0.7171803229698753i
1+0i,-0.8417298261492488-0.08880086615467689i
1+0i,-0.5895486053212445+0.6063969806180473i
1+0i,0.11230289033638868+0.8375930659030636i
