signal_0,signal_1
-0.8529798785962502-0.5219423420671092i,-0.8280360859220987-0.5068923612705961i
0.8879618718176199-0.4599166681076903i,0.8618995711085143-0.44621149455158887i
-0.06581710123315043+0.9978312841312669i,-0.06404139564347834+0.9681217595926627i
-0.8198589064176507-0.5725641640339751i,-0.7950912209148888-0.5554925146973072i
0.9141467619826148-0.4053830440525169i,0.8864327682904903-0.3928896980026836i
-0.1260322612685157+0.9920257449233916i,-0.12234533304541823+0.9615267054825873i
-0.7837376021497806-0.621090645461593i,-0.7592907085041223-0.6019565062346726i
0.9369862676883925-0.34936589060669476i,0.907661344695264-0.33823032500775857i
-0.18578619696041504+0.982589818676245i,-0.18008380000694815+0.9514129138351914i
-0.744748154263775-0.6673442002544578i,-0.7207728333676003-0.6461164074446626i
0.9563968061462934-0.2920702065104809i,0.9255132135679213-0.28243854641974714i
-0.24486023454931727+0.9695580368301955i,-0.2370440047337425+0.9378248841142661i
-0.7030332474054665-0.7111555602530564i,-0.6796857600694104-0.6878132322366435i
0.9723073431161464-0.23370566937759452i,0.9399290493552026-0.22572335583731168i
-0.303038188410951+0.9529780901138398i,-0.2930164896130411+0.9208200087159476i
-0.658745540230817-0.7523643946826855i,-0.6361869551433817-0.7268975181907062i
0.9846596528611016-0.17448586836514068i,0.9508624857815309-0.1682967744645651i
-0.3601071522029064+0.9329106540164045i,-0.34779591378285407+0.9004683308419985i
-0.6120471067407569-0.7908198968952758i,-0.5904425749845087-0.763229870541418i
0.9934085312288373-0.11462752252896317i,0.9582802642928442-0.11037304605764042i
-0.4158582780104736+0.9094291667414944i,-0.40118181848785267+0.8768522547955081i
-0.5631088431598985-0.8263813362570023i,-0.5426268219615806-0.7966814668128516i
0.9985219610793579-0.05434968772491023i,0.9621623323988263-0.05216782506144002i
-0.4700875406403789+0.8826195604547883i,-0.45297937232495805+0.8500662099039176i
-0.5121098425297004-0.8589185731620042i,-0.4929212712809937-0.827134520251651i
0.9999812294539839+0.006127045041582518i,0.9625018916389979+0.0061026389401221195i
-0.5225964842654275+0.8525799468091901i,-0.5030000935657283+0.8202162694521625i
-0.45923673930479675-0.8883125352874899i,-0.44151417124044723-0.8544827003675454i
0.9977809960567511+0.06658135688390007i,0.9593053950926685+0.0642223173288184i
-0.5731929486876584+0.8194202578982881i,-0.5510625468359286+0.7874197261779655i
-0.40468302635099423-0.9144556533473351i,-0.3885997196079007-0.8786315090602497i
0.9919293127976003+0.12679201096638704i,0.9525924945481796+0.12197621598499918i
-0.6216917725621981+0.783261843952072i,-0.5969930115381837+0.7518046260472053i
-0.3486483468444268-0.9372522547495039i,-0.33437731894788014-0.8994986109856806i
0.9824475943258444+0.1865386621362164i,0.9423959376405394+0.17915118313798717i
-0.6679154710083157+0.7442370292471734i,-0.6406261195177675+0.7135092621838524i
-0.29133776366321124-0.9566189137166736i,-0.2790508137928612-0.9170141169947547i
0.9693705396617396+0.24560266329208158i,0.9287614154595903+0.23553670845213726i
-0.7116948851279135+0.7024886278568028i,-0.6818054595957824+0.6726816309792671i
-0.23296100894532384-0.9724847565887775i,-0.22282771262038178-0.931120819660664i
0.9527460052129677+0.3037678655387481i,0.9117473613201433+0.2909257103071184i
-0.7528698010544943+0.6581694210125348i,-0.7203841467271168+0.6294788525469881i
-0.1737317165589874-0.9847917211901811i,-0.16591839764986924-0.941774380098995i
0.9326348296407183+0.36082140919924455i,0.8914247015738275+0.345115308283092i
-0.7912895362671539+0.6114415979905716i,-0.7562253536818522+0.5840665578221526i
-0.11386664029440036-0.9934947693123276i,-0.108535325512745-0.9489434654733399i
0.9091106112163038+0.41655450278992456i,0.8678765595239517+0.3979075779254867i
-0.826813491023936+0.5624761625685986i,-0.7892028032986206+0.5366182447284574i
-0.05358486063789025-0.99856205153425i,-0.05089222187812924-0.9526098367722619i
0.8822594384830693+0.47076318710768844i,0.8411979136851795+0.44911028493877275i
-0.8593116628965457+0.5114523072253513i,-0.8192012195143935+0.4873146059490955i
0.006893016968639865-0.9999750237777851i,0.006796726867473333-0.952768386635056i
0.8521795752092742+0.5232490816331324i,0.8114952118014539+0.49853759604466147i
