signal_0,signal_1,signal_2
0.42427451689469625+0.26455768549293257i,-0.06454679807106414-0.03869132685279684i,-0.0354046081530162-0.02170673708090272i
0.21175441143422027-0.4529432734768076i,-0.029537023278527398+0.06629779858770057i,-0.016551955703722594+0.03620314559571276i
-0.47507441971550596-0.1558919599893013i,0.06669271996635123+0.020533449945978832i,0.036574164854893405+0.011404798664281412i
-0.09778158891636929+0.4903453125000216i,0.011808142861427888-0.06583468279575401i,0.006713192405021346-0.036322488858879856i
0.49853332499222125+0.0382593356812733i,-0.06387134862493334-0.0035706240852973513i,-0.03516394826981066-0.0023506137918603504i
-0.021817614419405412-0.4995208728214956i,0.003971004353806872+0.06088046130709464i,0.0019161754459577406+0.033376985813590006i
-0.4932984524551745+0.08158052468054283i,0.056944734800018354-0.010720287116517756i,0.03133564534147394-0.005807281726678936i
0.14016244842685782+0.47995240228340763i,-0.016618939665141802-0.05224841891676562i,-0.008976845036301032-0.028927008084646648i
0.45967372097555736-0.19671985216856847i,-0.04700135433488359+0.02155419053304831i,-0.025967874872668033+0.011567486461722332i
-0.2504390919500391-0.43275560398523727i,0.0254285657838085+0.04134407935769322i,0.013804696690228702+0.022732914034827686i
-0.39959172756180733+0.3005424826105174i,0.03541024375806467-0.028245690138629178i,0.01955619156068948-0.015504125883808327i
0.3463033431063118+0.36065736632421663i,-0.03004630669010987-0.029400465929420534i,-0.01644313459029216-0.01637440093241432i
0.3165130484905827-0.3870624987026233i,-0.023518653646695573+0.030834785471392633i,-0.013072143267718122+0.016788544545904574i
-0.4222352225531544-0.2677966774099686i,0.030633927817168245+0.01789957480458563i,0.01676054289489266+0.00987911891471918i
-0.21521654083647054+0.45131088492531396i,0.012659326103722028-0.02954530351757785i,0.0070489243254294705-0.016271739495759108i
0.4738671983247387+0.15952855371958727i,-0.027695998116667425-0.007947346370498633i,-0.015218968507896424-0.004532621454187273i
0.1015348306667094-0.48957937007699975i,-0.0038973630721911372+0.025185502456310332i,-0.002249513395474033+0.01377874885704396i
-0.4982250243353099-0.04207369588952324i,0.022125455138625624+0.000579601196141533i,0.012147384263311954+0.00034972665219204746i
0.0179919057863753+0.49967599511862226i,-0.0019601636670995236-0.018674928984157655i,-0.0010242611154152078-0.010313464152882364i
0.4939094487239426-0.07779739298872855i,-0.014999634928740844+0.003669573699040707i,-0.008268587051715353+0.001931116283500663i
-0.136481824450629-0.4810091256969615i,0.004522649779422787+0.011240718095028374i,0.002437080166329465+0.006167970317963097i
-0.461166216711039+0.19319621813747168i,0.0075403158344182096-0.004541948916416405i,0.004151923154100029-0.0024881051603288734i
0.24711801867089792+0.4346636458555854i,-0.003770844186177387-0.004053233338914002i,-0.0020635495703143166-0.002251271107462415i
0.4018824563730085-0.2974706088532314i,-0.0009204434216484123+0.0022630191885496657i,-0.0005173472889152682+0.0012361783399287604i
-0.3435303284074653-0.3632963759552334i,0.00009903999062966585-0.0017388265693180894i,0.00005822263129376132-0.0009514979179840338i
-0.3194675380141028+0.38462971880308794i,-0.003814398302873357+0.002616747419072987i,-0.0021042078712263323+0.0014345918726710206i
0.42017249615872626+0.2710253056388736i,0.005772061188843578+0.00521518289594419i,0.003153202227401484+0.0029008898630118077i
0.21866738145840797-0.4496466787521932i,0.0058799461230879604-0.009236617095579287i,0.0032625131679864957-0.005026864162885478i
-0.47263084553770257-0.16315044515499189i,-0.012861090020179562-0.00576120946053816i,-0.007035762250180652-0.0031744534161780905i
-0.10528078124017975+0.4887900546680054i,-0.004824197322882675+0.016503855136468303i,-0.0026966123140819923+0.009080112420113647i
0.49788883422645897+0.04589093283639016i,0.020033918689467335+0.003076788019452668i,0.010991154064218689+0.001800383543149164i
-0.014163806425555897-0.49979646280032397i,0.0005639721449577763-0.023299947464929974i,0.0003968270833125339-0.012729818467723595i
-0.4944901379609503+0.07401504255995564i,-0.026143065848080748+0.00267189926243806i,-0.01433779024064318+0.001436695759670618i
0.13279453010395378+0.48204297883672664i,0.006581217876404458+0.028444760472303206i,0.003527679822950324+0.015686318127795404i
0.46263299678488123-0.18965590693839235i,0.0301157597050964-0.011058614895377466i,0.01656394349449859-0.00589279409334232i
-0.24378111461682064-0.43654084659570314i,-0.01596424711630736-0.03104398061483248i,-0.008632661420698623-0.016994517773254617i
-0.40414827625876015+0.29438663079853744i,-0.031119132974159146+0.021185591667656378i,-0.0171087255259084+0.01159134850127931i
0.34073849831628955+0.36591942009029865i,0.026616616551894942+0.03029900528257878i,0.014503512772182954+0.016780376491714016i
0.3224046236170518-0.3821690326563436i,0.028583579836505037-0.032091569177780103i,0.015786499089990413-0.01739215011017618i
-0.4180837879842794-0.27423269141218104i,-0.037420347530941166-0.025942379219449214i,-0.020388513573976624-0.014234181108666566i
-0.22210406015886605+0.44796144195926374i,-0.022349071270624285+0.04246962410094374i,-0.01235720159859823+0.0232884306191202i
0.4713681045984492+0.16676811122616692i,0.04713059367832865+0.01786357677045143i,0.02576866818420454+0.010048765220413586i
0.10902189162958648-0.48796672318954204i,0.01259160466438594-0.051235622715572554i,0.007089671716571032-0.02788768410198262i
-0.497522103663615-0.04970013322788065i,-0.054605299807751057-0.006592927507988885i,-0.029834393773687618-0.0036711520001515927i
0.010336211607303553+0.49989295818327173i,0.00007518925845937248+0.057145506551783125i,-0.00012376750141203605+0.03139285895592925i
0.4950431568264554-0.07022300587575307i,0.05880318692331052-0.007262059110253125i,0.0322205887395379-0.0036430027745578113i
-0.12909811095337712-0.4830432116760434i,-0.014777301028717944-0.05946660752611449i,-0.007848903647451017-0.032439271899287046i
-0.4640713044366602+0.1861098156214524i,-0.05902149489586637+0.022498952524641794i,-0.032318281075677906+0.012238357473810704i
0.24043124624569912+0.43839778547606234i,0.03032165615815801+0.057460591416603105i,0.016410289946401212+0.03165975826446473i
0.40639172503316473-0.2912800399629367i,0.05482737783960035-0.03804832809174686i,0.03013179461147382-0.02045950568266698i
-0.3379253458733146-0.3685156554842125i,-0.04545480835680056-0.05110136698176055i,-0.024626221594219354-0.027933937476468152i
-0.3253214622940321+0.3796912739840187i,-0.046261121818983494+0.052410772449936104i,-0.02542373613068986+0.02862464376925794i
0.4159718912712089+0.27742933597455743i,0.05881947734100013+0.04040329470359557i,0.03202167153561264+0.022434684620513644i
0.22552904607187627-0.44624458401585954i,0.0336751643998087-0.06449814995669705i,0.018657720104153692-0.034945132957745616i
-0.47007637885441356-0.17037065034551926i,-0.06925064718004574-0.02614737287628817i,-0.03768121408851783-0.014364931777312394i
-0.11275527166715929+0.4871201133195196i,-0.01788237391832149+0.07299720383067192i,-0.00998951454719683+0.039950796154130636i
0.49712752488065326+0.05351176300750412i,0.07570567947282614+0.009060707350594058i,0.041327389276121944+0.00538962863373509i
-0.0065066751278893-0.49995478622420597i,-0.00009572037877368096-0.07726197301274887i,0.00027191047539274057-0.04199642818052716i
-0.4955658021593108+0.06643219475192087i,-0.0775478202288532+0.00946008016933225i,-0.04230903516211713+0.005043514765741587i
0.12539545454517692+0.4840204549264434i,0.0189274141662338+0.07657568218954798i,0.010078129472739901+0.04202012524338563i
0.4654837260205747-0.18254746280972733i,0.07441196943365948-0.028282678080460644i,0.040736857290220654-0.01497141509936382i
-0.23706593933139347-0.44022366418955694i,-0.037283963431180636-0.07103941750679148i,-0.02002198060812015-0.03871212800231522i
-0.4086100003780761+0.28816170795544316i,-0.06643774299963656+0.04580416122363167i,-0.036365052357533505+0.02489745414567087i
0.33509370681428374+0.3710956192304143i,0.053753217296571516+0.060720746413289575i,0.02911308133914432+0.03349410589462875i
0.3282205536717781-0.3771858987430833i,0.05405286728011299-0.06094170672439156i,0.029748544968440434-0.03283377680302942i
-0.41383425917660804-0.28060436243463005i,-0.06716751720626417-0.046506281969337544i,-0.03638754062298947-0.025439119472803813i
-0.22893946757285374+0.44450689501223895i,-0.03814300326633379+0.07235879849197842i,-0.021037015062795896+0.03946500391647924i
0.4687584147977068+0.1739685405788664i,0.07649195393645813+0.029152225802727267i,0.04161106860995249+0.016374668887322707i
0.1164833730830653-0.48623958533521183i,0.01976243206550682-0.07945210837827749i,0.011133484127478995-0.04303758664814548i
-0.4967024503004746-0.05731490921017213i,-0.08112053570004855-0.010096639930242087i,-0.044118075099000446-0.005655707734477642i
0.0026780923419677527+0.4999926326794732i,-0.0002552981523454245+0.08151559517657767i,-0.00043388748175440356+0.04458980867196634i
0.4960607140245047-0.06263214216627407i,0.08070724593204448-0.009547321908112723i,0.04404981746238377-0.004688485529103007i
-0.12168410734700369-0.48496396188188196i,-0.01907274241002694-0.07867628301469143i,-0.010019380634373777-0.04276333387363071i
-0.46686750796475346+0.17897974684625262i,-0.07540056092991848+0.028201254868076783i,-0.04115003257904932+0.015219406524457262i
0.2336880619978465+0.4420290650170994i,0.03684849242570528+0.07099162741974306i,0.019810683964133824+0.038999668833415865i
0.4108056428964577-0.2850211283076873i,0.06560725569940146-0.044830835960935775i,0.03596564760890217-0.02396466714185739i
-0.33224107651483603-0.37364847061070694i,-0.051954066751613216-0.05931191583766116i,-0.028001429508142064-0.032355338202242546i
-0.3310990569735525+0.37466374327653207i,-0.05216073450828689+0.05815132336073974i,-0.02861860437309848+0.03161569996527496i
0.4116736878116432+0.2837682739351933i,0.0633994889907003+0.04433056820543499i,0.03437480138822209+0.024586306443272508i
0.2323377953360218-0.4427377874944702i,0.036032618756755015-0.06758734037174666i,0.019956155653842216-0.03648382438127804i
-0.4674116190150331-0.17755088149862375i,-0.07060109844113377-0.027376958821892474i,-0.03828922401432985-0.015052737134904143i
-0.12020330647261324+0.48533588026955304i,-0.01845385196630267+0.07245497855874534i,-0.01032862094635008+0.039538896383104455i
0.4962495755792893+0.06112003813452003i,0.07320815794238182+0.009458749370707094i,0.03986231427904274+0.005633674703576787i
0.0011519828962385792-0.4999958059460345i,0.0006072361900792729-0.07283699139341877i,0.0006887412665854718-0.03950287805474948i
-0.4965251926693229+0.058833760404807825i,-0.07131614214547063+0.007993663145334317i,-0.038833770911349+0.004194450385112428i
0.11796695778078245+0.4858843665813098i,0.016266886718792565+0.06874038449741117i,0.008590807678822966+0.037658803003465774i
0.46822523982175634-0.1753961876225592i,0.06524340550183381-0.024046626046427585i,0.035670197728415-0.012654911293453357i
-0.2302951416618639-0.44380319267469537i,-0.03115907584076515-0.060875794458272486i,-0.016663797253672907-0.0331393205722805i
-0.41297585307437606+0.2818691746223937i,-0.05568123239534555+0.03754217201695387i,-0.030452690378301377+0.020344342046377663i
0.3293702930264009+0.3761847492633434i,0.04316988585627249+0.04980913634433715i,0.023322872317262128+0.027458267233314633i
0.3339594740747609-0.3721142661455561i,0.04343685353796674-0.04794009719818222i,0.023898131186815-0.02577468673530447i
-0.409487633188559-0.28691019550492614i,-0.051749681402049386-0.036655278087768965i,-0.02798776305024826-0.020050589028777148i
-0.23572115930050544+0.44094805461765996i,-0.029540117818238835+0.05460395553624092i,-0.016293399721484587+0.0297420236754544i
0.4660387412287944+0.18112815235539192i,0.056544345249438424+0.022255568389842433i,0.030726973504834373+0.012498630588228234i
0.1239175243547217-0.4843983617488996i,0.014981434747559702-0.05754341920235749i,0.00843851556968169-0.03114284116289993i
-0.49576625655951323-0.06491623719678563i,-0.05757368526758099-0.007808027936445394i,-0.031289826721325846-0.004374029993035271i
-0.0049806552004726945+0.49997499522080013i,-0.00080272419798951+0.05670629940594476i,-0.00065081176628904+0.03100155722529923i
0.49696188157068716-0.05502658288941496i,0.055042902428391265-0.005894932992043373i,0.03002893255340497-0.002855386476569469i
-0.11424155316430118-0.4867709256527102i,-0.012139992844961386-0.052618657559112436i,-0.006361004025460594-0.028589158088730707i
-0.469554171227695+0.17180768472560518i,-0.04946475438997535+0.017876774873027693i,-0.02698493226475768+0.009642367753655793i
0.2268900480671325+0.4455566324788632i,0.023076894865455652+0.04569665151034513i,0.012403625706829282+0.02509263126656104i
0.4151231743341945-0.27869534240336846i,0.04145103333737751-0.02765243189323632i,0.022712181790812865-0.014779452401863099i
-0.3264788540207458-0.3786936170326009i,-0.03151591797731016-0.03679777071640895i,-0.016986907700532405-0.020061571916458357i
-0.3367989664672157+0.3695483062800723i,-0.0317965137570715+0.03466411389908483i,-0.017429631735451617+0.018850119457310844i
0.40727889425888397+0.29004063222848453i,0.03712073599788602+0.026575158688266577i,0.020130716055699948+0.014718269272320719i
0.23909203172766438-0.43912711198065824i,0.021272791189551003-0.03885782751939255i,0.011759102023134219-0.020978080955566823i
-0.46463719124681657-0.18468945393107464i,-0.03984889462281388-0.01596132458972934i,-0.02161226952143937-0.008752475800626765i
-0.12762313813907714+0.4834377741491274i,-0.010696671905233409+0.04014195852716702i,-0.005956260966113408+0.02190471659824791i
0.4952551923138505+0.06871397310310814i,0.039807328046685325+0.005588240929393249i,0.021671597692134278+0.0032807252915640294i
